,film,news_link,news_title
0,Moonlight,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
1,La La Land,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
2,Mad Max: Fury Road,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
3,The Revenant,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
4,Birdman,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
5,The Grand Budapest Hotel,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
6,Whiplash,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
7,12 Years a Slave,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
8,Gravity,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
9,Dallas Buyers Club,http://omgili.com/ri/.wHSUbtEfZRtocKi5t.qi0ZxSXAAVlzywZMWgHtgWWdKliVTrTSAu8lFzYObXkscdzO.sQDbqtxcqHavjFE4hoEgmHfUlrNEe2TurKv_o4LjfxZbG8eH4w--,"(Image Credits: Andrew Collins, Cory Burns) Hard charging t"
